,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent
0,seed_0,509.9296062187453,20.471059762416104,16.32,3.52,0.96,0.24,25,360,500,0.0
1,seed_1,485.8476851914328,19.81356960208321,15.92,3.36,0.72,0.0,25,360,500,0.0
2,seed_2,489.4610477630572,22.145875826987023,15.28,7.2,3.92,1.28,25,360,500,0.0
3,seed_3,494.3357668483968,20.61074080172655,21.84,3.6,1.04,0.24,25,360,500,0.0
4,seed_4,474.215315050512,22.71338487439468,28.64,8.88,4.48,1.68,25,360,500,0.0
5,seed_5,502.3945032395063,21.231937920733987,26.56,7.2,3.84,1.12,25,360,500,0.0
6,seed_6,516.212639070719,20.41273091602095,29.76,8.0,3.36,1.04,25,360,500,0.0
7,seed_7,476.8647408603311,20.954361359995925,17.28,4.08,2.0,0.56,25,360,500,0.0
8,seed_8,507.63276586873593,20.34527972687656,24.8,6.72,3.04,0.56,25,360,500,0.0
9,seed_9,470.446095520507,20.584107066445405,23.36,5.36,2.16,0.72,25,360,500,0.0
10,seed_10,488.8460245893506,21.182729974714483,17.6,4.16,1.52,0.8,25,360,500,0.0
11,seed_11,505.4358616504487,21.394232063705864,18.72,6.0,1.76,0.24,25,360,500,0.0
12,seed_12,502.3590881312867,21.429788916928743,20.4,7.04,4.24,0.96,25,360,500,0.0
13,seed_13,496.3926484893418,20.773142712702917,24.72,9.6,4.32,1.68,25,360,500,0.0
14,seed_14,512.2065294087951,20.35962885783543,8.16,2.0,0.88,0.24,25,360,500,0.0
15,seed_15,489.7032528075784,22.01742548689213,25.04,7.68,4.0,1.2,25,360,500,0.0
16,seed_16,485.09517495621645,21.0136131382629,18.32,6.88,3.12,0.8,25,360,500,0.0
17,seed_17,469.6583803453895,20.68076369400306,25.04,9.84,5.44,1.92,25,360,500,0.0
18,seed_18,532.7299748609021,20.843982913666743,18.48,5.12,2.4,0.88,25,360,500,0.0
19,seed_19,488.9373805036466,21.42885089621023,19.92,4.72,1.52,0.08,25,360,500,0.0
0,seed_0,445.5913391258093,20.210122445572345,13.52,4.32,1.04,0.48,25,360,500,0.1
1,seed_1,433.75484524761794,20.318495419436847,21.76,6.08,2.72,1.04,25,360,500,0.1
2,seed_2,421.8012299726845,20.37002616898121,28.32,9.84,5.6,2.0,25,360,500,0.1
3,seed_3,465.7821047547571,20.595708746356223,18.32,4.32,2.16,0.24,25,360,500,0.1
4,seed_4,468.0476493319348,21.01704691099832,24.4,7.92,3.6,0.96,25,360,500,0.1
5,seed_5,438.8378796307668,20.251819207141533,15.44,3.36,1.6,0.56,25,360,500,0.1
6,seed_6,484.21427396555134,20.641535411506617,19.84,5.28,2.08,0.4,25,360,500,0.1
7,seed_7,415.2469440657655,20.53491435647113,19.36,5.44,1.76,0.32,25,360,500,0.1
8,seed_8,472.2684597359852,20.898606865143734,21.2,5.36,2.8,0.8,25,360,500,0.1
9,seed_9,493.97234354137225,20.09634743698952,21.28,6.4,3.28,0.56,25,360,500,0.1
10,seed_10,456.9963438145749,20.5560958800896,16.32,4.56,2.96,0.88,25,360,500,0.1
11,seed_11,435.9820726386373,20.75258075047151,24.32,6.8,2.8,0.56,25,360,500,0.1
12,seed_12,441.4566028500058,20.962034796491725,15.52,4.0,2.4,0.88,25,360,500,0.1
13,seed_13,420.9746097030256,20.20338419257026,24.8,7.76,4.24,1.04,25,360,500,0.1
14,seed_14,445.7878243448956,20.18062700470319,23.12,6.64,3.28,1.12,25,360,500,0.1
15,seed_15,441.717075893639,20.671816627118844,20.64,7.2,3.52,0.32,25,360,500,0.1
16,seed_16,433.8700294497308,20.376312060557773,27.92,10.24,3.84,0.64,25,360,500,0.1
