,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
seed_0,159.5591808192785,18.758348471849512,166.68,50.68,23.24,6.56,50,360,500,0.7,0.034
seed_1,159.37044403320363,18.8127265426253,174.88,51.48,20.8,6.6,50,360,500,0.7,0.034
seed_2,171.6177524923252,18.81307178573301,171.16,55.88,23.76,7.12,50,360,500,0.7,0.034
seed_3,145.12284294468563,18.77541902074176,200.04,65.8,30.4,9.52,50,360,500,0.7,0.034
seed_4,153.61388328338813,18.79057596529608,175.24,57.2,25.44,8.2,50,360,500,0.7,0.034
seed_5,165.3621795657889,18.927262731757544,168.76,53.72,23.24,6.64,50,360,500,0.7,0.034
seed_6,153.12202676167868,18.507183365094576,155.2,48.08,19.28,4.0,50,360,500,0.7,0.034
seed_7,167.4828110475915,18.81342352021105,173.28,54.16,22.72,6.48,50,360,500,0.7,0.034
seed_8,162.27909953885865,18.73608632118183,175.24,49.68,20.08,5.36,50,360,500,0.7,0.034
seed_9,156.45799032280195,18.626718358459225,172.2,48.36,20.72,6.24,50,360,500,0.7,0.034
seed_10,158.25199380691203,18.36917776196435,171.64,48.4,19.56,5.44,50,360,500,0.7,0.034
seed_11,156.7624368442822,19.06793044257747,169.44,48.32,21.68,5.84,50,360,500,0.7,0.034
seed_12,150.47930470323107,18.62090149436321,170.04,52.88,20.12,5.24,50,360,500,0.7,0.034
seed_13,162.4240135133355,18.67475601994813,179.68,52.44,20.88,6.36,50,360,500,0.7,0.034
seed_14,160.81697061471837,18.648844970516326,162.4,50.16,23.6,6.8,50,360,500,0.7,0.034
seed_15,155.6935109445336,18.841765134095414,203.0,64.04,27.68,8.88,50,360,500,0.7,0.034
seed_16,161.91496541401307,18.795771849217807,182.16,53.76,22.44,5.8,50,360,500,0.7,0.034
seed_17,147.4397910560881,18.816148970073154,172.48,53.84,22.76,6.76,50,360,500,0.7,0.034
seed_18,157.51663814494998,18.653858234337587,187.76,59.44,26.08,8.56,50,360,500,0.7,0.034
seed_19,162.37132060095718,18.847981526854074,167.68,53.68,23.36,6.8,50,360,500,0.7,0.034
