,Unnamed: 0,accel,time,half,quarter,one_eighth,collision,agent,viewing_angle,step,dynamic_percent,simple_avoid_vec
0,seed_0,465.3919984446506,21.75303542552085,96.24,27.76,11.0,3.16,50,360,500,0.3,0.06
1,seed_1,455.1973290892514,21.82064206330928,116.4,34.16,14.92,4.32,50,360,500,0.3,0.06
2,seed_2,474.616900526648,21.42131193043584,101.76,31.0,12.28,3.56,50,360,500,0.3,0.06
3,seed_3,453.17311355359305,21.57881934535528,114.04,41.4,19.52,5.76,50,360,500,0.3,0.06
4,seed_4,474.0161528478717,21.27496176241566,109.24,34.52,15.24,4.44,50,360,500,0.3,0.06
5,seed_5,474.3496094104393,21.433142846287517,120.12,35.32,13.84,3.96,50,360,500,0.3,0.06
6,seed_6,459.21470424056565,20.837187313852844,120.08,33.52,15.04,4.88,50,360,500,0.3,0.06
7,seed_7,470.9058104132441,21.65107288487695,114.68,35.8,15.44,4.52,50,360,500,0.3,0.06
8,seed_8,488.0792053582375,21.0370598802892,113.4,37.6,16.44,5.0,50,360,500,0.3,0.06
9,seed_9,495.5989703216594,21.13039969184546,109.96,34.28,13.56,4.24,50,360,500,0.3,0.06
10,seed_10,483.9348494206881,20.734774371396263,100.12,27.04,12.0,3.68,50,360,500,0.3,0.06
11,seed_11,477.6888179008503,21.38689110388424,105.72,32.72,13.0,3.84,50,360,500,0.3,0.06
12,seed_12,464.324303848584,21.536812904816543,109.8,32.16,14.64,4.76,50,360,500,0.3,0.06
13,seed_13,448.995312739121,21.60343028044134,118.64,34.44,14.44,5.08,50,360,500,0.3,0.06
14,seed_14,475.9135247726522,21.369378562924226,95.12,28.72,14.04,3.48,50,360,500,0.3,0.06
15,seed_15,468.4847612086735,21.12221599041609,107.96,33.24,15.52,4.68,50,360,500,0.3,0.06
16,seed_16,454.9765793141415,21.060533606288622,108.44,31.4,13.48,4.2,50,360,500,0.3,0.06
17,seed_17,479.58321462754407,21.24110227916416,94.96,27.08,11.12,3.6,50,360,500,0.3,0.06
18,seed_18,468.38761519407024,21.139600233197875,110.72,31.32,13.88,4.04,50,360,500,0.3,0.06
19,seed_19,438.0990142256212,21.91980701479234,124.52,36.8,14.48,3.48,50,360,500,0.3,0.06
